city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Delhi,2026-02-12 18:20:26.246651,,28.0,31.0,484.0,14.7,118.0,19.4
Mumbai,2026-02-12 18:20:28.077973,,74.3,75.9,461.0,30.2,316.0,31.9
Kolkata,2026-02-12 18:20:30.248427,,59.5,66.4,507.0,19.0,141.0,22.9
Chennai,2026-02-12 18:20:32.440482,,19.2,24.2,278.0,3.5,105.0,3.9
Bengaluru,2026-02-12 18:20:34.899132,,12.1,13.2,377.0,7.2,106.0,3.1
Hyderabad,2026-02-12 18:20:36.828146,,24.0,25.5,388.0,4.4,151.0,10.6
Pune,2026-02-12 18:20:38.598897,,26.4,27.7,295.0,3.0,160.0,6.2
Ahmedabad,2026-02-12 18:20:40.348728,,47.3,48.8,334.0,8.4,148.0,17.2
Jaipur,2026-02-12 18:20:42.076677,,28.6,38.3,371.0,3.6,150.0,8.4
Lucknow,2026-02-12 18:20:43.565294,,29.0,33.9,332.0,8.0,113.0,11.8
Chandigarh,2026-02-12 18:20:45.407262,,39.3,41.6,657.0,8.8,136.0,21.3
Bhopal,2026-02-12 18:20:47.123652,,50.4,52.2,320.0,4.0,126.0,9.9
Indore,2026-02-12 18:20:48.706174,,49.6,51.0,363.0,6.5,142.0,11.9
Nagpur,2026-02-12 18:20:50.229247,,54.7,56.3,347.0,20.1,164.0,46.2
Surat,2026-02-12 18:20:52.113202,,86.1,86.8,511.0,82.2,87.0,139.7
Patna,2026-02-12 18:20:54.325556,,65.2,71.5,457.0,12.1,134.0,18.7
Ranchi,2026-02-12 18:20:56.207677,,25.7,31.8,225.0,3.6,125.0,7.5
Guwahati,2026-02-12 18:20:57.978002,,29.4,31.8,588.0,7.4,109.0,4.1
Dehradun,2026-02-12 18:20:59.549694,,31.8,34.2,455.0,7.3,142.0,15.0
Shimla,2026-02-12 18:21:01.231722,,26.5,29.7,327.0,5.3,142.0,15.3
Srinagar,2026-02-12 18:21:03.033492,,36.4,42.3,1501.0,21.6,153.0,11.5
Varanasi,2026-02-12 18:21:04.997321,,39.0,45.3,490.0,8.5,118.0,11.4
Kanpur,2026-02-12 18:21:07.262224,,29.3,36.7,378.0,9.2,112.0,10.4
Amritsar,2026-02-12 18:21:08.798430,,37.4,40.5,723.0,14.7,119.0,11.4
Ludhiana,2026-02-12 18:21:10.525557,,44.0,45.2,496.0,11.9,87.0,6.9
Coimbatore,2026-02-12 18:21:12.761052,,16.9,18.9,220.0,2.8,137.0,4.7
Madurai,2026-02-12 18:21:15.024117,,19.3,22.1,221.0,4.4,117.0,4.3
Visakhapatnam,2026-02-12 18:21:17.382631,,41.4,44.0,523.0,21.8,136.0,15.9
Vijayawada,2026-02-12 18:21:19.547096,,39.8,41.1,277.0,5.3,137.0,13.9
Raipur,2026-02-12 18:21:21.794685,,61.5,63.3,424.0,19.0,123.0,25.8
Bhubaneswar,2026-02-12 18:21:24.366566,,65.9,68.5,516.0,15.7,139.0,20.4
Thiruvananthapuram,2026-02-12 18:21:26.288311,,35.5,39.7,241.0,2.9,175.0,6.0
Kochi,2026-02-12 18:21:28.094121,,34.0,35.6,250.0,5.6,167.0,4.6
Mysuru,2026-02-12 18:21:29.896400,,11.8,13.0,204.0,3.4,123.0,2.9
Jodhpur,2026-02-12 18:21:32.067851,,24.7,31.3,312.0,2.5,138.0,6.1
Udaipur,2026-02-12 18:21:33.541366,,36.8,39.1,281.0,1.6,149.0,11.0
Gwalior,2026-02-12 18:21:35.263051,,27.0,41.0,330.0,5.0,108.0,7.8
Jabalpur,2026-02-12 18:21:37.140642,,41.9,43.7,292.0,4.8,117.0,8.2
Agra,2026-02-12 18:21:39.055070,,34.2,42.5,399.0,14.8,111.0,11.9
Meerut,2026-02-12 18:21:40.922657,,28.1,30.6,388.0,13.4,120.0,19.2
Noida,2026-02-12 18:21:42.426716,,28.1,31.5,500.0,17.8,115.0,18.4
Gurugram,2026-02-12 18:21:44.289639,,28.1,31.5,706.0,17.8,115.0,18.4
Faridabad,2026-02-12 18:21:46.273302,,28.1,31.5,531.0,17.8,115.0,18.4
Ghaziabad,2026-02-12 18:21:48.467776,,28.1,30.6,452.0,13.4,120.0,19.2
Panipat,2026-02-12 18:21:50.638691,,27.6,48.4,461.0,9.6,99.0,11.5
Sonipat,2026-02-12 18:21:52.099759,,28.0,31.0,475.0,14.7,118.0,19.4
Hisar,2026-02-12 18:21:54.060757,,26.4,28.1,375.0,8.7,93.0,4.8
Rohtak,2026-02-12 18:21:56.045710,,27.0,28.2,521.0,9.6,101.0,6.3
Bareilly,2026-02-12 18:21:57.806130,,24.6,26.6,334.0,6.7,119.0,10.6
Aligarh,2026-02-12 18:21:59.327370,,26.7,30.5,465.0,9.4,141.0,18.1
Moradabad,2026-02-12 18:22:02.350641,,26.2,27.8,395.0,8.4,115.0,12.2
Prayagraj,2026-02-12 18:22:05.832424,,31.4,37.1,414.0,6.9,110.0,9.8
Gorakhpur,2026-02-12 18:22:08.494361,,34.2,37.5,280.0,6.4,128.0,12.3
Deoghar,2026-02-12 18:22:12.492516,,44.2,49.5,260.0,6.2,139.0,10.4
Dhanbad,2026-02-12 18:22:15.153256,,42.5,49.4,225.0,20.7,108.0,25.7
Siliguri,2026-02-12 18:22:19.348753,,43.0,47.7,883.0,9.6,145.0,8.6
Asansol,2026-02-12 18:22:21.398192,,42.3,48.3,315.0,14.7,118.0,21.8
Jamshedpur,2026-02-12 18:22:22.952302,,44.1,54.1,308.0,18.4,125.0,29.9
Cuttack,2026-02-12 18:22:24.829419,,65.9,68.5,476.0,15.7,139.0,20.4
Rourkela,2026-02-12 18:22:27.160593,,31.5,38.4,558.0,11.3,112.0,12.9
Sambalpur,2026-02-12 18:22:29.379684,,51.2,54.4,378.0,8.1,154.0,25.8
Aurangabad,2026-02-12 18:22:32.060561,,35.5,36.6,290.0,2.2,164.0,8.3
Nashik,2026-02-12 18:22:33.872655,,32.6,33.8,293.0,4.3,161.0,7.9
Solapur,2026-02-12 18:22:35.534570,,24.0,25.4,304.0,2.3,164.0,7.5
Kolhapur,2026-02-12 18:22:37.406035,,24.2,25.3,296.0,7.4,138.0,5.5
Vadodara,2026-02-12 18:22:40.363994,,54.2,55.2,350.0,13.4,158.0,13.8
Rajkot,2026-02-12 18:22:43.523457,,32.9,35.3,258.0,2.1,153.0,10.8
Gandhinagar,2026-02-12 18:22:46.075612,,49.2,50.6,342.0,10.3,131.0,16.1
Tiruchirappalli,2026-02-12 18:22:48.101962,,31.7,33.8,251.0,6.7,127.0,15.0
Salem,2026-02-12 18:22:50.231999,,18.1,20.9,219.0,4.2,122.0,8.2
Erode,2026-02-12 18:22:52.147488,,19.1,22.1,219.0,3.6,132.0,4.7
Tirunelveli,2026-02-12 18:22:54.422731,,18.3,20.8,206.0,2.7,123.0,4.0
Warangal,2026-02-12 18:22:56.831893,,42.0,44.6,293.0,5.7,159.0,15.3
Nellore,2026-02-12 18:22:58.818492,,20.0,24.0,235.0,1.7,115.0,4.8
Kurnool,2026-02-12 18:23:00.808003,,21.0,22.5,235.0,1.3,140.0,7.8
Hubballi,2026-02-12 18:23:02.481656,,17.9,19.0,214.0,3.5,152.0,7.2
Mangaluru,2026-02-12 18:23:04.500238,,28.8,32.6,246.0,2.7,160.0,4.5
Belagavi,2026-02-12 18:23:06.630602,,16.4,17.6,217.0,3.3,142.0,4.8
Tirupati,2026-02-12 18:23:08.344677,,17.1,19.6,230.0,2.5,114.0,2.9
Pondicherry,2026-02-12 18:23:09.956976,,22.4,27.4,243.0,2.6,119.0,2.9
Delhi,2026-02-12 18:22:13.738779,,28.0,31.0,484.0,14.7,118.0,19.4
Mumbai,2026-02-12 18:22:17.503959,,74.3,75.9,461.0,30.2,316.0,31.9
Kolkata,2026-02-12 18:22:20.072419,,59.5,66.4,507.0,19.0,141.0,22.9
Chennai,2026-02-12 18:22:22.311225,,19.2,24.2,278.0,3.5,105.0,3.9
Bengaluru,2026-02-12 18:22:24.239416,,12.1,13.2,377.0,7.2,106.0,3.1
Hyderabad,2026-02-12 18:22:26.406543,,24.0,25.5,388.0,4.4,151.0,10.6
Pune,2026-02-12 18:22:29.651830,,26.4,27.7,295.0,3.0,160.0,6.2
Ahmedabad,2026-02-12 18:22:33.239571,,47.3,48.8,334.0,8.4,148.0,17.2
Jaipur,2026-02-12 18:22:35.452705,,28.6,38.3,371.0,3.6,150.0,8.4
Lucknow,2026-02-12 18:22:37.210796,,29.0,33.9,332.0,8.0,113.0,11.8
Chandigarh,2026-02-12 18:22:39.508127,,39.3,41.6,657.0,8.8,136.0,21.3
Bhopal,2026-02-12 18:22:41.359279,,50.4,52.2,320.0,4.0,126.0,9.9
Indore,2026-02-12 18:22:44.239605,,49.6,51.0,363.0,6.5,142.0,11.9
Nagpur,2026-02-12 18:22:46.393481,,54.7,56.3,347.0,20.1,164.0,46.2
Surat,2026-02-12 18:22:48.444143,,86.1,86.8,511.0,82.2,87.0,139.7
Patna,2026-02-12 18:22:50.748807,,65.2,71.5,457.0,12.1,134.0,18.7
Ranchi,2026-02-12 18:22:53.325622,,25.7,31.8,225.0,3.6,125.0,7.5
Guwahati,2026-02-12 18:22:56.440315,,29.4,31.8,588.0,7.4,109.0,4.1
Dehradun,2026-02-12 18:22:58.834433,,31.8,34.2,455.0,7.3,142.0,15.0
Shimla,2026-02-12 18:23:00.785300,,26.5,29.7,327.0,5.3,142.0,15.3
Srinagar,2026-02-12 18:23:02.434283,,36.4,42.3,1501.0,21.6,153.0,11.5
Varanasi,2026-02-12 18:23:04.850858,,39.0,45.3,490.0,8.5,118.0,11.4
Kanpur,2026-02-12 18:23:06.480610,,29.3,36.7,378.0,9.2,112.0,10.4
Amritsar,2026-02-12 18:23:08.277452,,37.4,40.5,723.0,14.7,119.0,11.4
Ludhiana,2026-02-12 18:23:10.409678,,44.0,45.2,496.0,11.9,87.0,6.9
Coimbatore,2026-02-12 18:23:12.390298,,16.9,18.9,220.0,2.8,137.0,4.7
Madurai,2026-02-12 18:23:14.677636,,19.3,22.1,221.0,4.4,117.0,4.3
Visakhapatnam,2026-02-12 18:23:17.267473,,41.4,44.0,523.0,21.8,136.0,15.9
Vijayawada,2026-02-12 18:23:18.785825,,39.8,41.1,277.0,5.3,137.0,13.9
Raipur,2026-02-12 18:23:20.643293,,61.5,63.3,424.0,19.0,123.0,25.8
Bhubaneswar,2026-02-12 18:23:22.152382,,65.9,68.5,516.0,15.7,139.0,20.4
Thiruvananthapuram,2026-02-12 18:23:23.707143,,35.5,39.7,241.0,2.9,175.0,6.0
Kochi,2026-02-12 18:23:25.219885,,34.0,35.6,250.0,5.6,167.0,4.6
Mysuru,2026-02-12 18:23:27.414228,,11.8,13.0,204.0,3.4,123.0,2.9
Jodhpur,2026-02-12 18:23:29.294566,,24.7,31.3,312.0,2.5,138.0,6.1
Udaipur,2026-02-12 18:23:31.134971,,36.8,39.1,281.0,1.6,149.0,11.0
Gwalior,2026-02-12 18:23:33.392575,,27.0,41.0,330.0,5.0,108.0,7.8
Jabalpur,2026-02-12 18:23:35.538680,,41.9,43.7,292.0,4.8,117.0,8.2
Agra,2026-02-12 18:23:40.040563,,34.2,42.5,399.0,14.8,111.0,11.9
Meerut,2026-02-12 18:23:44.241200,,28.1,30.6,388.0,13.4,120.0,19.2
Noida,2026-02-12 18:23:45.779771,,28.1,31.5,500.0,17.8,115.0,18.4
Gurugram,2026-02-12 18:23:48.234547,,28.1,31.5,706.0,17.8,115.0,18.4
Faridabad,2026-02-12 18:23:52.225565,,28.1,31.5,531.0,17.8,115.0,18.4
Ghaziabad,2026-02-12 18:23:53.719791,,28.1,30.6,452.0,13.4,120.0,19.2
Panipat,2026-02-12 18:23:55.575363,,27.6,48.4,461.0,9.6,99.0,11.5
Sonipat,2026-02-12 18:23:57.653388,,28.0,31.0,475.0,14.7,118.0,19.4
Hisar,2026-02-12 18:23:59.931669,,26.4,28.1,375.0,8.7,93.0,4.8
Rohtak,2026-02-12 18:24:02.596350,,27.0,28.2,521.0,9.6,101.0,6.3
Bareilly,2026-02-12 18:24:04.618288,,24.6,26.6,334.0,6.7,119.0,10.6
Aligarh,2026-02-12 18:24:06.795776,,26.7,30.5,465.0,9.4,141.0,18.1
Moradabad,2026-02-12 18:24:08.335928,,26.2,27.8,395.0,8.4,115.0,12.2
Prayagraj,2026-02-12 18:24:10.053098,,31.4,37.1,414.0,6.9,110.0,9.8
Gorakhpur,2026-02-12 18:24:12.400831,,34.2,37.5,280.0,6.4,128.0,12.3
Deoghar,2026-02-12 18:24:16.087746,,44.2,49.5,260.0,6.2,139.0,10.4
Dhanbad,2026-02-12 18:24:17.891709,,42.5,49.4,225.0,20.7,108.0,25.7
Siliguri,2026-02-12 18:24:20.082648,,43.0,47.7,883.0,9.6,145.0,8.6
Asansol,2026-02-12 18:24:22.487423,,42.3,48.3,315.0,14.7,118.0,21.8
Jamshedpur,2026-02-12 18:24:24.689757,,44.1,54.1,308.0,18.4,125.0,29.9
Cuttack,2026-02-12 18:24:27.253658,,65.9,68.5,476.0,15.7,139.0,20.4
Rourkela,2026-02-12 18:24:29.280151,,31.5,38.4,558.0,11.3,112.0,12.9
Sambalpur,2026-02-12 18:24:31.023477,,51.2,54.4,378.0,8.1,154.0,25.8
Aurangabad,2026-02-12 18:24:32.895874,,35.5,36.6,290.0,2.2,164.0,8.3
Nashik,2026-02-12 18:24:36.505327,,32.6,33.8,293.0,4.3,161.0,7.9
Solapur,2026-02-12 18:24:38.288511,,24.0,25.4,304.0,2.3,164.0,7.5
Kolhapur,2026-02-12 18:24:39.765481,,24.2,25.3,296.0,7.4,138.0,5.5
Vadodara,2026-02-12 18:24:41.581675,,54.2,55.2,350.0,13.4,158.0,13.8
Rajkot,2026-02-12 18:24:45.182090,,32.9,35.3,258.0,2.1,153.0,10.8
Gandhinagar,2026-02-12 18:24:47.422137,,49.2,50.6,342.0,10.3,131.0,16.1
Tiruchirappalli,2026-02-12 18:24:50.698196,,31.7,33.8,251.0,6.7,127.0,15.0
Salem,2026-02-12 18:24:53.258279,,18.1,20.9,219.0,4.2,122.0,8.2
Erode,2026-02-12 18:24:56.462229,,19.1,22.1,219.0,3.6,132.0,4.7
Tirunelveli,2026-02-12 18:24:58.317286,,18.3,20.8,206.0,2.7,123.0,4.0
Warangal,2026-02-12 18:25:00.317045,,42.0,44.6,293.0,5.7,159.0,15.3
Nellore,2026-02-12 18:25:02.498368,,20.0,24.0,235.0,1.7,115.0,4.8
Kurnool,2026-02-12 18:25:04.056820,,21.0,22.5,235.0,1.3,140.0,7.8
Hubballi,2026-02-12 18:25:05.949267,,17.9,19.0,214.0,3.5,152.0,7.2
Mangaluru,2026-02-12 18:25:07.581000,,28.8,32.6,246.0,2.7,160.0,4.5
Belagavi,2026-02-12 18:25:09.091201,,16.4,17.6,217.0,3.3,142.0,4.8
Tirupati,2026-02-12 18:25:11.194237,,17.1,19.6,230.0,2.5,114.0,2.9
Pondicherry,2026-02-12 18:25:13.536865,,22.4,27.4,243.0,2.6,119.0,2.9
Delhi,2026-02-12 18:28:11.501221,,28.0,31.0,484.0,14.7,118.0,19.4
Mumbai,2026-02-12 18:28:12.905783,,74.3,75.9,461.0,30.2,316.0,31.9
Kolkata,2026-02-12 18:28:15.261723,,59.5,66.4,507.0,19.0,141.0,22.9
Chennai,2026-02-12 18:28:16.799563,,19.2,24.2,278.0,3.5,105.0,3.9
Bengaluru,2026-02-12 18:28:18.336588,,12.1,13.2,377.0,7.2,106.0,3.1
Hyderabad,2026-02-12 18:28:20.917428,,24.0,25.5,388.0,4.4,151.0,10.6
Pune,2026-02-12 18:28:23.273737,,26.4,27.7,295.0,3.0,160.0,6.2
Ahmedabad,2026-02-12 18:28:25.003109,,47.3,48.8,334.0,8.4,148.0,17.2
Jaipur,2026-02-12 18:28:27.553974,,28.6,38.3,371.0,3.6,150.0,8.4
Lucknow,2026-02-12 18:28:29.867786,,29.0,33.9,332.0,8.0,113.0,11.8
Chandigarh,2026-02-12 18:28:31.776443,,39.3,41.6,657.0,8.8,136.0,21.3
Bhopal,2026-02-12 18:28:33.267234,,50.4,52.2,320.0,4.0,126.0,9.9
Indore,2026-02-12 18:28:35.571515,,49.6,51.0,363.0,6.5,142.0,11.9
Nagpur,2026-02-12 18:28:38.352443,,54.7,56.3,347.0,20.1,164.0,46.2
Surat,2026-02-12 18:28:39.800019,,86.1,86.8,511.0,82.2,87.0,139.7
Patna,2026-02-12 18:28:41.326883,,65.2,71.5,457.0,12.1,134.0,18.7
Ranchi,2026-02-12 18:28:43.065127,,25.7,31.8,225.0,3.6,125.0,7.5
Guwahati,2026-02-12 18:28:44.564276,,29.4,31.8,588.0,7.4,109.0,4.1
Dehradun,2026-02-12 18:28:46.112227,,31.8,34.2,455.0,7.3,142.0,15.0
Shimla,2026-02-12 18:28:48.018608,,26.5,29.7,327.0,5.3,142.0,15.3
Srinagar,2026-02-12 18:28:50.205631,,36.4,42.3,1501.0,21.6,153.0,11.5
Varanasi,2026-02-12 18:28:51.893459,,39.0,45.3,490.0,8.5,118.0,11.4
Kanpur,2026-02-12 18:28:54.118702,,29.3,36.7,378.0,9.2,112.0,10.4
Amritsar,2026-02-12 18:28:56.675268,,37.4,40.5,723.0,14.7,119.0,11.4
Ludhiana,2026-02-12 18:28:58.877825,,44.0,45.2,496.0,11.9,87.0,6.9
Coimbatore,2026-02-12 18:29:00.684034,,16.9,18.9,220.0,2.8,137.0,4.7
Madurai,2026-02-12 18:29:03.136269,,19.3,22.1,221.0,4.4,117.0,4.3
Visakhapatnam,2026-02-12 18:29:06.204953,,41.4,44.0,523.0,21.8,136.0,15.9
Vijayawada,2026-02-12 18:29:08.455483,,39.8,41.1,277.0,5.3,137.0,13.9
Raipur,2026-02-12 18:29:12.007779,,61.5,63.3,424.0,19.0,123.0,25.8
Bhubaneswar,2026-02-12 18:29:14.898810,,65.9,68.5,516.0,15.7,139.0,20.4
Thiruvananthapuram,2026-02-12 18:29:17.356436,,35.5,39.7,241.0,2.9,175.0,6.0
Kochi,2026-02-12 18:29:19.922548,,34.0,35.6,250.0,5.6,167.0,4.6
Mysuru,2026-02-12 18:29:23.397187,,11.8,13.0,204.0,3.4,123.0,2.9
Jodhpur,2026-02-12 18:29:25.344688,,24.7,31.3,312.0,2.5,138.0,6.1
Udaipur,2026-02-12 18:29:28.074374,,36.8,39.1,281.0,1.6,149.0,11.0
Gwalior,2026-02-12 18:29:29.607336,,27.0,41.0,330.0,5.0,108.0,7.8
Jabalpur,2026-02-12 18:29:31.825522,,41.9,43.7,292.0,4.8,117.0,8.2
Agra,2026-02-12 18:29:33.731223,,34.2,42.5,399.0,14.8,111.0,11.9
Meerut,2026-02-12 18:29:35.936329,,28.1,30.6,388.0,13.4,120.0,19.2
Noida,2026-02-12 18:29:39.068756,,28.1,31.5,500.0,17.8,115.0,18.4
Gurugram,2026-02-12 18:29:41.849861,,28.1,31.5,706.0,17.8,115.0,18.4
Faridabad,2026-02-12 18:29:45.997453,,28.1,31.5,531.0,17.8,115.0,18.4
Ghaziabad,2026-02-12 18:29:48.225900,,28.1,30.6,452.0,13.4,120.0,19.2
Panipat,2026-02-12 18:29:50.651133,,27.6,48.4,461.0,9.6,99.0,11.5
Sonipat,2026-02-12 18:29:52.785794,,28.0,31.0,475.0,14.7,118.0,19.4
Hisar,2026-02-12 18:29:54.659862,,26.4,28.1,375.0,8.7,93.0,4.8
Rohtak,2026-02-12 18:29:56.738551,,27.0,28.2,521.0,9.6,101.0,6.3
Bareilly,2026-02-12 18:30:08.408034,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:30:10.025169,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:30:13.401911,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:30:15.774449,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:30:17.919447,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:30:20.685931,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:30:22.629961,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:30:25.191150,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:30:28.262385,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:30:30.518432,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:30:33.179691,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:30:35.841887,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:30:37.692388,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:30:39.838188,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:30:42.189488,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:30:44.853811,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:30:47.207497,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:30:49.571156,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:30:51.711646,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:30:54.169517,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:30:56.332480,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:30:58.787555,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:31:01.949398,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:31:04.812479,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:31:07.273069,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:31:09.229818,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:31:11.124497,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:31:13.989389,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:31:16.807951,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:31:18.960317,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:31:21.928602,,18.6,20.6,267.0,5.3,101.0,3.1
